node_id,type,weight,discharge,elevation,max_supply_head,disuse,name,lat,lon,X,Y
1,demand,1,0.1,0,NA,0,Vlieland,0,0,126611.4561,585779.6909
2,demand,1,0.1,0,NA,0,Oosterend,0,0,157615.4472,603610.6184
3,demand,1,0.1,0,NA,0,West-Terschelling,0,0,145295.1472,599465.8458
4,demand,1,0.1,0,NA,0,Hollum,0,0,174415.6634,606764.5505
5,demand,1,0.1,0,NA,0,Nes,0,0,185856.9676,607759.2512
6,demand,1,0.1,0,NA,0,Schiermonnikoog,0,0,210158.7542,611783.5776
7,demand,1,0.1,0,NA,0,Dokkum,0,0,196202.063,588938.0374
8,demand,1,0.1,0,NA,0,Gytsjerk,0,0,189591.1102,586505.2918
9,demand,1,0.1,0,NA,0,Holwerd,0,0,188921.9408,596085.019
10,demand,1,0.1,0,NA,0,Anjum,0,0,201630.1881,597340.1022
11,demand,1,0.1,0,NA,0,Kollum,0,0,206252.7705,588687.856
12,demand,1,0.1,0,NA,0,Surhuisterveen,0,0,203832.9139,578646.3154
13,demand,1,0.1,0,NA,0,Leeuwarden-stad,0,0,183171.9299,579053.2381
14,demand,1,0.1,0,NA,0,Hurdegaryp,0,0,190025.7594,579146.5569
15,demand,1,0.1,0,NA,0,Stiens,0,0,175875.0153,587510.7243
16,demand,1,0.1,0,NA,0,Harlingen,0,0,160517.2189,577985.4708
17,demand,1,0.1,0,NA,0,Franeker,0,0,166134.3121,578397.5252
18,demand,1,0.1,0,NA,0,Dronrijp,0,0,173080.06,579020.2003
19,demand,1,0.1,0,NA,0,Grou,0,0,184594.6214,567186.8967
20,demand,1,0.1,0,NA,0,Wommels,0,0,172213.8499,571625.1454
21,demand,1,0.1,0,NA,0,Sneek-stad,0,0,174492.0193,560366.1342
22,demand,1,0.1,0,NA,0,Bolsward,0,0,160336.3174,565818.0236
23,demand,1,0.1,0,NA,0,Workum,0,0,159893.6665,552656.2807
24,demand,1,0.1,0,NA,0,Heeg,0,0,167629.2782,557097.0601
25,demand,1,0.1,0,NA,0,Stavoren,0,0,165536.5408,545301.9935
26,demand,1,0.1,0,NA,0,Heerenveen,0,0,192058.4095,553547.8186
27,demand,1,0.1,0,NA,0,Joure,0,0,182975.4273,552407.8044
28,demand,1,0.1,0,NA,0,Lemmer,0,0,176541.1923,543037.5498
29,demand,1,0.1,0,NA,0,Echternerbrug,0,0,183184.0294,542200.5851
30,demand,1,0.1,0,NA,0,Munnekeburen,0,0,190772.3492,541713.0883
31,demand,1,0.1,0,NA,0,Wolvega,0,0,197070.5968,543469.3526
32,demand,1,0.1,0,NA,0,Beetsterzwaag,0,0,196566.0543,562650.5296
33,demand,1,0.1,0,NA,0,Jubbega,0,0,202645.7267,556001.2527
34,demand,1,0.1,0,NA,0,Noordwolde,0,0,204930.858,546422.7233
35,demand,1,0.1,0,NA,0,Burgum,0,0,195646.8475,579111.4861
36,demand,1,0.1,0,NA,0,Opeinde,0,0,195339.8917,572986.0701
37,demand,1,0.1,0,NA,0,Drachten,0,0,201390.4918,568743.6324
38,demand,1,0.1,0,NA,0,Ureterp,0,0,211978.8024,565067.3161
39,demand,1,0.1,0,NA,0,Oosterwolde,0,0,217674.3314,553843.7955
