pipe_id,start,end,length,diameter,disuse,q_max,flowdir,has_booster,booster_hmax,colid
1,3,2,12999,100,0,10.15,0,0,0,1
2,7,8,7044,700,0,1570.49,0,0,0,1
3,7,9,10202,100,0,1.65,0,0,0,1
4,7,10,10003,100,0,0.04,0,1,20,1
5,8,14,7372,700,0,1512.33,0,0,0,1
6,14,13,6854,700,0,1338.89,0,0,0,1
7,13,15,11170,300,0,277.27,0,0,0,1
8,13,18,10092,300,0,347.14,0,0,0,1
9,14,35,5621,200,0,132.61,0,0,0,1
10,17,16,5632,200,0,169.93,0,0,0,1
11,18,17,6974,300,0,273.3,0,0,0,1
12,27,19,14868,200,0,163.91,0,0,0,1
13,21,20,11487,200,0,161.61,0,0,0,1
14,24,22,11368,300,0,219.43,0,0,0,1
15,25,23,9270,300,0,183.68,0,0,0,1
16,33,32,9010,200,0,70.96,0,0,0,1
17,33,37,12804,300,0,281.97,0,0,0,1
18,35,36,6133,100,0,53.83,0,0,0,1
19,39,38,12586,200,0,123.8,0,0,0,1
20,40,6,4654,100,0,16.97,0,0,0,1
21,41,21,12451,400,0,389.7,0,0,0,1
22,41,24,11974,300,0,312.06,0,0,0,1
23,41,25,10162,300,0,312.97,0,0,0,1
24,41,27,8837,400,0,416.57,0,0,0,1
25,41,28,5050,200,0,80.49,0,0,0,1
26,41,29,9715,100,0,27.61,0,0,0,1
27,42,4,3495,100,0,28.44,0,0,0,1
28,43,5,2507,100,0,34.12,0,0,0,1
29,44,39,1805,300,0,248.79,0,0,0,1
30,45,3,1933,100,0,58.71,0,0,0,1
31,46,7,7627,800,0,1652.16,0,0,0,1
32,46,11,12527,200,0,86.18,0,0,0,1
33,46,12,8153,300,0,214.44,0,0,0,1
34,46,35,2252,200,0,132.61,0,0,0,1
35,47,26,10644,400,0,369.24,0,0,0,1
36,47,30,10164,100,0,40.96,0,0,0,1
37,47,31,3959,200,0,84.88,0,0,0,1
38,47,33,10104,400,0,477.3,0,0,0,1
39,47,34,5086,200,0,81.04,0,0,0,1
40,48,1,7719,100,0,18.75,0,0,0,1
