start,end,id,length,diameter,disuse,q_max,flowdir,has_booster,booster_hmax
3,2,1,12999,100,0,10.15,0,0,0
7,8,2,7044,700,0,1570.49,0,0,0
7,9,3,10202,100,0,1.65,0,0,0
7,10,4,10003,100,0,0.04,0,1,20
8,14,5,7372,700,0,1512.33,0,0,0
14,13,6,6854,700,0,1338.89,0,0,0
13,15,7,11170,300,0,277.27,0,0,0
13,18,8,10092,300,0,347.14,0,0,0
14,35,9,5621,200,0,132.61,0,0,0
17,16,10,5632,200,0,169.93,0,0,0
18,17,11,6974,300,0,273.3,0,0,0
27,19,12,14868,200,0,163.91,0,0,0
21,20,13,11487,200,0,161.61,0,0,0
24,22,14,11368,300,0,219.43,0,0,0
25,23,15,9270,300,0,183.68,0,0,0
33,32,16,9010,200,0,70.96,0,0,0
33,37,17,12804,300,0,281.97,0,0,0
35,36,18,6133,100,0,53.83,0,0,0
39,38,19,12586,200,0,123.8,0,0,0
40,6,20,4654,100,0,16.97,0,0,0
41,21,21,12451,400,0,389.7,0,0,0
41,24,22,11974,300,0,312.06,0,0,0
41,25,23,10162,300,0,312.97,0,0,0
41,27,24,8837,400,0,416.57,0,0,0
41,28,25,5050,200,0,80.49,0,0,0
41,29,26,9715,100,0,27.61,0,0,0
42,4,27,3495,100,0,28.44,0,0,0
43,5,28,2507,100,0,34.12,0,0,0
44,39,29,1805,300,0,248.79,0,0,0
45,3,30,1933,100,0,58.71,0,0,0
46,7,31,7627,800,0,1652.16,0,0,0
46,11,32,12527,200,0,86.18,0,0,0
46,12,33,8153,300,0,214.44,0,0,0
46,35,34,2252,200,0,132.61,0,0,0
47,26,35,10644,400,0,369.24,0,0,0
47,30,36,10164,100,0,40.96,0,0,0
47,31,37,3959,200,0,84.88,0,0,0
47,33,38,10104,400,0,477.3,0,0,0
47,34,39,5086,200,0,81.04,0,0,0
48,1,40,7719,100,0,18.75,0,0,0
